Name,Author,Rating,Format,Price
Spectacular Stories for Curious Kids: A Fascinating Collection of True Tales to Inspire & Amaze Young Readers,Part of: Spectacular Stories for Curious Kids (5 books) ,4.7,Paperback,$11.26
Vacuuming in the Nude: And Other Ways to Get Attention,Peggy Rowe,4.8,Hardcover,$13.74
The Pale-Faced Lie: A True Story,David Crow,4.5,Paperback,$13.49
"If You Tell: A True Story of Murder, Family Secrets, and the Unbreakable Bond of Sisterhood",Gregg Olsen,4.3,Kindle Edition,$0.00
IT AIN'T SO!: Shoeless Joe Jackson's Story,Alan Thurston,4.1,Paperback,$12.99
James Patterson by James Patterson: The Stories of My Life,James Patterson,4.6,Hardcover,$15.15
Sapiens: A Brief History of Humankind,Part of: A Brief History Series (2 books) ,4.6,Audible Audiobook,$0.00
Zero Fail: The Rise and Fall of the Secret Service,Audible Audiobook,$0.00
"Physicians' Untold Stories: Miraculous experiences doctors are hesitant to share with their patients, or ANYONE!",Kindle Edition,$9.99
"When the Moon Turns to Blood: Lori Vallow, Chad Daybell, and a Story of Murder, Wild Faith, and End Times",Leah Sottile,4.1,Kindle Edition,$15.99
19 Minutes to Live - Helicopter Combat in Vietnam: A Memoir by Lew Jennings,Lew Jennings,4.6,Paperback,$17.96
"Surrender: A Memoir of Nature, Nurture, and Love",Marylee MacDonald,4.3,Kindle Edition,$6.99
Make $1000 Selling on eBay Before Christmas (eBay Selling Made Easy),Book 8 of 12: eBay Selling Made Easy ,3.8,Paperback,$9.99
Happy-Go-Lucky,Audible Audiobook,$0.00
Wind of Change: An American Journey in Post-Soviet Russia,Kenneth Maher,4.7,Kindle,$2.99
Gangsters vs. Nazis: How Jewish Mobsters Battled Nazis in WW2 Era America,Michael Benson,4.3,Hardcover,$24.30
Recipes for a Sacred Life: True Stories and a Few Miracles,Rivvy Neshama,4.4,Paperback,$15.38
"The Girls Are Gone: The True Story of Two Sisters Who Vanished, the Father Who Kept Searching, and the Adults Who Conspired to Keep the Truth Hidden",Michael Brodkorb,4.0,Kindle Edition,$0.99
"Extreme Survival: Lessons from Those Who Have Triumphed Against All Odds (Survival Stories, True Stories)",Paperback,$17.99
"Life Changing Vision: Launch Direct Action, Realizing Necessary Elements, To Live Large",L. Darnell Williams,4.5,Kindle,$0.00
Helltown: The Untold Story of a Serial Killer on Cape Cod,Casey Sherman,4.1,Kindle,$8.57
The Body: A Guide for Occupants,Audible Audiobook,$0.00
"Interesting Facts For Curious Minds: 1572 Random But Mind-Blowing Facts About History, Science, Pop Culture And Everything In Between",Jordan Moore,4.5,Paperback,$12.89
American Schism: How the Two Enlightenments Hold the Secret to Healing our Nation,Hardcover,$15.99
"Super Interesting Facts For Smart Kids: 1272 Fun Facts About Science, Animals, Earth and Everything in Between",Jordan Moore,4.7,Paperback,$11.90
The Bucket List: 1000 Adventures Big & Small,Kath Stathers,4.7,Hardcover,$20.99
"The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz",Audible Audiobook,$0.00
"World War II Inspiring Stories for Kids: A Collection of Unbelievable True Tales About Goodness, Friendship, Courage, and Rescue to Inspire Young ... Events of WWII (Facts & History Book)",Ennis Jemmy,4.7,Paperback,$8.99
Recipes for a Sacred Life: True Stories and a Few Miracles,Rivvy Neshama,4.4,Paperback,$15.38
After All ... : A True Story,Maria  Trautman,4.3,Kindle,$0.00
The Year's Best Sports Writing 2022,J.A. Adande,4.4,Paperback,$18.33
Behind Closed Doors: A Daughter's Story,Daniella DeChristopher,4.2,Paperback,$10.99
A Game of Extremes: 25 Exceptional Baseball Stories about What Happened on and off the Field,Part of: A Game of Extremes. (4 books) ,4.3,Paperback,$15.97
"Imagine Heaven: Near-Death Experiences, God's Promises, and the Exhilarating Future That Awaits You",John Burke,4.8,Paperback,$11.50
Lost on Purpose: The Adventures of a 21st Century Mountain Man (Adventures of a 21st Mountain Man),Patrick Taylor,4.3,Paperback,$14.95
12 Rules for Life: An Antidote to Chaos,Audible Audiobook,$0.00
Spaced Out: The Tactical Evolution of the Modern NBA,Mike Prada,4.4,Kindle,$11.99
Damaged Goods: a Memoir,Shelley Louise,4.3,Paperback,$12.95
Mistakes That Worked: 40 Familiar Inventions & How They Came to Be,Charlotte Foltz Jones,4.7,Paperback,$10.67
"Interesting Stories for Curious Kids: A Fascinating Collection of the Most Interesting, Unbelievable, and Craziest Stories on Earth!",Bill O'Neill,4.6,Paperback,$11.90
"Psychological Triggers: Human Nature, Irrationality, and Why We Do What We Do. The Hidden Influences Behind Our Actions, Thoughts, and Behaviors.",Book 3 of 7: Understand Your Brain Better ,4.4,Paperback,$13.25
"Walk the Blue Line: No right, no left―just cops telling their true stories to James Patterson.",James Patterson,4.3,Hardcover,$19.98
Upstairs at the White House: My Life with the First Ladies,J. B. West,4.5,Kindle,$10.44
American Psychosis: A Historical Investigation of How the Republican Party Went Crazy,Audible Audiobook,$0.00
The Best New True Crime Stories: Unsolved Crimes & Mysteries,Part of: The Best New True Crime Stories (8 books) ,4.8,Paperback,$18.59
The Trail: a novel,Ethan Gallogly,4.5,Kindle,$0.00
The Quiet Americans: Four CIA Spies at the Dawn of the Cold War--a Tragedy in Three Acts,Scott Anderson,4.5,Kindle,$9.99
The 50 States: Explore the U.S.A. with 50 fact-filled maps!,Part of: The 50 States (10 books) ,4.8,Hardcover,$25.99
When Heroes Flew,Book 1 of 4: When Heroes Flew ,4.5,Kindle,$0.00
"Into the Abyss: An Extraordinary True Story by Shaben, Carol (2014) Paperback",Carol Shaben,4.3,Paperback,$11.89
"If You Tell: A True Story of Murder, Family Secrets, and the Unbreakable Bond of Sisterhood",Gregg Olsen,4.3,Kindle Edition,$0.00
"Butcher, Biter, Spy: A True Story of Madness, Mutilation and Unspeakable Acts of Brutality (True Crime)",Part of: True Crime (26 books) ,4.5,Paperback,$11.99
"One Man's Wilderness, 50th Anniversary Edition: An Alaskan Odyssey",Sam Keith,4.8,Paperback,$17.99
Greenlights,Audible Audiobook,$0.00
Never Say Invisible: A Memoir of Living and Being Seen with ALS,Jeremy  Schreiber,4.5,Kindle,$0.00
American Psychosis: A Historical Investigation of How the Republican Party Went Crazy,Audible Audiobook,$0.00
The Quiet Americans: Four CIA Spies at the Dawn of the Cold War--a Tragedy in Three Acts,Scott Anderson,4.5,Kindle,$9.99
I Was Just a Radioman: The Memoirs of a Pearl Harbor Survivor - Large Print,Pamela Ackerson,4.3,Paperback,$21.99
The Best New True Crime Stories: Unsolved Crimes & Mysteries,Part of: The Best New True Crime Stories (8 books) ,4.8,Paperback,$18.59
The Pale-Faced Lie: A True Story,David Crow,4.5,Paperback,$13.49
The Trail: a novel,Ethan Gallogly,4.5,Kindle,$0.00
"American OZ: An Astonishing Year Inside Traveling Carnivals at State Fairs & Festivals: Hitchhiking From California to New York, Alaska to Mexico",Michael Sean Comerford,4.2,Kindle,$9.99
Lost Airmen: The Epic Rescue of WWII U.S. Bomber Crews Stranded Behind Enemy Lines,Charles E. Stanley Jr.,4.7,Hardcover,$20.49
The Baseball 100,Joe Posnanski,4.8,Paperback,$20.75
"When the Moon Turns to Blood: Lori Vallow, Chad Daybell, and a Story of Murder, Wild Faith, and End Times",Leah Sottile,4.1,Kindle Edition,$15.99
The Cold Start Problem: How to Start and Scale Network Effects,Andrew Chen,4.5,Kindle Edition,$0.00
"Don't Waste This Storm: Hope-Filled Thriving, Not Just Barely Surviving, in the Storms of Life",Kindle Edition,$5.99
"Physicians' Untold Stories: Miraculous experiences doctors are hesitant to share with their patients, or ANYONE!",Kindle Edition,$9.99
"No Better Friend: Young Readers Edition: A Man, a Dog, and Their Incredible True Story of Friendship and Survival in World War II",Robert Weintraub,4.8,Paperback,$8.99
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,4.8,Paperback,$14.05
High Achiever: The Incredible True Story of One Addict's Double Life,Audible Audiobook,$0.00
"The Rifle: Combat Stories from America's Last WWII Veterans, Told Through an M1 Garand (World War II Collection)",Andrew Biggio,4.9,Paperback,$18.99
"Journey to Safe Harbor: Memoir of Three Generations Self Love, Forgiveness, Reconnection",Elizabeth Jacks Scott,4.5,Kindle Edition,$2.99
"The Girls Are Gone: The True Story of Two Sisters Who Vanished, the Father Who Kept Searching, and the Adults Who Conspired to Keep the Truth Hidden",Michael Brodkorb,4.0,Kindle Edition,$0.99
19 Minutes to Live - Helicopter Combat in Vietnam: A Memoir by Lew Jennings,Lew Jennings,4.6,Paperback,$17.96
My Survival: A Girl on Schindler's List,Joshua M. Greene,4.7,Paperback,$7.99
The Candy In My Pocket,John Robert Wiltgen,5.0,Hardcover,$23.96
Observations on the Danger of Female Curiosity: Including an account of the unnatural tendencies arising on the over-stimulation of the mind of a lady (Curiosity Series Book 1),Book 1 of 1: Curiosity Series ,4.6,Kindle,$0.00
Life on the Mississippi: An Epic American Adventure,Rinker Buck,4.3,Hardcover,$16.29
How to Stop Worrying and Start Living: Time-Tested Methods for Conquering Worry,Audible Audiobook,$0.00
"Start, Stay, or Leave: The Art of Decision Making",Trey Gowdy,4.8,Hardcover,$18.59
Superpower in Peril: A Battle Plan to Renew America,David McCormick,Hardcover,$29.00
Case Closed?: Nine Mysteries Unlocked by Modern Science,Susan Hughes,4.6,Paperback,$12.99
The Pioneers: The Heroic Story of the Settlers Who Brought the American Ideal West (Thorndike Press Large Print Popular and Narrative Nonfiction),David McCullough,4.4,Library Binding,$34.99
Donald Trump v. The United States: Inside the Struggle to Stop a President,Michael S. Schmidt,4.6,Paperback,$17.99
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,Audible Audiobook,$0.00
Confidence Man: The Making of Donald Trump and the Breaking of America,Audible Audiobook,$0.00
"Life Skills for Teens: How to Cook, Clean, Manage Money, Fix Your Car, Perform First Aid, and Just About Everything in Between",Karen Harris,4.6,Paperback,$9.99
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,4.6,Kindle,$12.99
"The Story of The Masters: Drama, joy and heartbreak at golf's most iconic tournament",David Barrett,4.6,Hardcover,$20.74
Bought and Sold (Part 1 of 3),Book 1 of 3: Bought and Sold ,3.9,Kindle,$0.00
Phil: The Rip-Roaring (and Unauthorized!) Biography of Golf's Most Colorful Superstar,Alan Shipnuck,4.3,Hardcover,$14.99
Upstairs at the White House: My Life with the First Ladies,J. B. West,4.5,Kindle,$10.44
The General and the Genius (World War II Collection),James Kunetka,4.7,Paperback,$17.99
The Food Lab: Better Home Cooking Through Science,J. Kenji López-Alt,4.9,Hardcover,$27.99
Grant,Audible Audiobook,$0.00
A Man of Iron: The Turbulent Life and Improbable Presidency of Grover Cleveland,Troy Senik,4.4,Hardcover,$21.30
"Why Do We Say That? - 202 Idioms, Phrases, Sayings & Facts! A Brief History On Where They Come From!",Scott Matthews,4.7,Paperback,$14.95
Atlas of the Heart: Mapping Meaningful Connection and the Language of Human Experience,Audible Audiobook,$0.00
"Best Seller Business: How to Strategically Launch a Non-Fiction Book to Help Position Yourself as an Expert, Gain Credibility and Skyrocket Your Career (Business Writing Secrets)",Part of: Business Writing Secrets (2 books) ,4.2,Kindle,$0.00
"Extraordinary Women In History: 70 Remarkable Women Who Made a Difference, Inspired & Broke Barriers",Leah Gail,4.3,Paperback,$12.99
A Lovely Girl: The Tragedy of Olga Duncan and the Trial of One of California's Most Notorious Killers,Deborah Holt Larkin,4.5,Kindle,$18.99
Cleopatra: A Life,Stacy Schiff,4.2,Paperback,$11.10
"At Any Cost: A Father's Betrayal, a Wife's Murder, and a Ten-Year War for Justice",Rebecca Rosenberg,4.4,Kindle,$9.99
Renegades: Born in the USA,Barack Obama,4.8,Hardcover,$26.13
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Part of: The Subtle Art of Not Giving a F*ck (2 books) ,4.6,Audible Audiobook,$0.00
Inspirational Basketball Short Stories for Young Reader: How 30 Legendary Player Overcame Challenges and Developing Life Lessons for Youngsters,Paperback,$11.97
"The Taking of Jemima Boone: Colonial Settlers, Tribal Nations, and the Kidnap That Shaped America",Matthew Pearl,4.3,Hardcover,$19.30
The Last Days of John Lennon,James Patterson,4.6,Paperback,$14.22
"Into the Abyss: An Extraordinary True Story by Shaben, Carol (2014) Paperback",Carol Shaben,4.3,Paperback,$11.89
"If You Tell: A True Story of Murder, Family Secrets, and the Unbreakable Bond of Sisterhood",Gregg Olsen,4.3,Kindle Edition,$0.00
Storm Clouds Rolling In (#1 in the Bregdan Chronicles Historical Fiction Series),Book 1 of 20: The Bregdan Chronicles ,4.4,Kindle Edition,$0.00
"Butcher, Biter, Spy: A True Story of Madness, Mutilation and Unspeakable Acts of Brutality (True Crime)",Part of: True Crime (26 books) ,4.5,Paperback,$11.99
Inspirational Basketball Short Stories for Young Reader: How 30 Legendary Player Overcame Challenges and Developing Life Lessons for Youngsters,Paperback,$11.97
"The Taking of Jemima Boone: Colonial Settlers, Tribal Nations, and the Kidnap That Shaped America",Matthew Pearl,4.3,Hardcover,$19.30
The Last Days of John Lennon,James Patterson,4.6,Paperback,$14.22
On Full Automatic: Surviving 13 Months in Vietnam,Audible Audiobook,$0.00
Damn Lucky: One Man's Courage During the Bloodiest Military Campaign in Aviation History,Kevin Maurer,4.7,Hardcover,$24.99
The Daughter of Auschwitz,Tova Friedman,4.7,Paperback,$13.99
The Pale-Faced Lie: A True Story,David Crow,4.5,Paperback,$13.49
Island of the Lost: An Extraordinary Story of Survival at the Edge of the World,Joan Druett,4.4,Kindle,$12.99
Under Jerusalem: The Buried History of the World's Most Contested City,Andrew Lawler,4.5,Kindle,$5.99
Operation Underworld: How the Mafia and U.S. Government Teamed Up to Win World War II,Matthew Black,4.2,Hardcover,$25.20
A Long Walk to Water: Based on a True Story,Linda Sue Park,4.7,Paperback,$7.64
"Drop Dead Dangerous: The Lethal Attraction of Road Trip Killer, Paul John Knowles (True Crime)",Part of: True Crime (26 books) ,4.1,Kindle,$0.00
"When the Moon Turns to Blood: Lori Vallow, Chad Daybell, and a Story of Murder, Wild Faith, and End Times",Leah Sottile,4.1,Kindle Edition,$15.99
The Cold Start Problem: How to Start and Scale Network Effects,Andrew Chen,4.5,Kindle Edition,$0.00
"Don't Waste This Storm: Hope-Filled Thriving, Not Just Barely Surviving, in the Storms of Life",Kindle Edition,$5.99
"One Man's Wilderness, 50th Anniversary Edition: An Alaskan Odyssey",Sam Keith,4.8,Paperback,$17.99
Anxious for Nothing: Finding Calm in a Chaotic World,Max Lucado,4.8,Audio CD,$24.99
The Ledger: A Bounty Hunter’s Journal,Paperback,$14.21
The End of the World Is Just the Beginning: Mapping the Collapse of Globalization,Audible Audiobook,$0.00
My Travels with Mrs. Kennedy,Hardcover,$17.59
"Journey to Safe Harbor: Memoir of Three Generations Self Love, Forgiveness, Reconnection",Elizabeth Jacks Scott,4.5,Kindle Edition,$2.99
"Physicians' Untold Stories: Miraculous experiences doctors are hesitant to share with their patients, or ANYONE!",Kindle Edition,$9.99
19 Minutes to Live - Helicopter Combat in Vietnam: A Memoir by Lew Jennings,Lew Jennings,4.6,Paperback,$17.96
The Side Hustle: How to Turn Your Spare Time into $1000 a Month or More,Nick Loper,4.3,Kindle,$0.00
Becoming Free Indeed: My Story of Disentangling Faith from Fear,Audible Audiobook,$0.00
People vs. Donald Trump: An Inside Account,Audible Audiobook,$0.00
Eleanor Oliphant Is Completely Fine: A Novel,Audible Audiobook,$0.00
"Rangers, Trappers, and Trailblazers: Early Adventures in Montana's Bob Marshall Wilderness and Glacier National Park",John Fraley,4.6,Paperback,$14.95
"Hell's Half-Acre: The Untold Story of the Benders, a Serial Killer Family on the American Frontier",Susan Jonusas,4.1,Kindle,$12.99
Sports Shorts: 52 Stories of Faith from All-Star Believers,Del Duduit,4.7,Paperback,$12.99
Midnight in Washington: How We Almost Lost Our Democracy and Still Could,Audible Audiobook,$0.00
"Rogues: True Stories of Grifters, Killers, Rebels and Crooks",Audible Audiobook,$0.00
The River of Doubt: Theodore Roosevelt's Darkest Journey,Audible Audiobook,$0.00
Front Row at the Trump Show,Audible Audiobook,$0.00
The Last Folk Hero: The Life and Myth of Bo Jackson,Jeff Pearlman,4.5,Hardcover,$19.72
Wise Gals: The Spies Who Built the CIA and Changed the Future of Espionage,Audible Audiobook,$0.00
The Fight of His Life: Inside Joe Biden's White House,Chris Whipple,4.3,Hardcover,$23.99
Guinness World Records 2023,Guinness World Records,4.8,Hardcover,$15.65
"Stupid Things I Won't Do When I Get Old: A Highly Judgmental, Unapologetically Honest Accounting of All the Things Our Elders Are Doing Wrong",Steven Petrow,4.1,Hardcover,$16.49
This Is Big: How the Founder of Weight Watchers Changed the World -- and Me,Marisa Meltzer,4.3,Kindle,$11.99
smART: Use Your Eyes to Boost Your Brain (Adapted from the New York Times bestseller Visual Intelligence),Amy E. Herman,4.5,Hardcover,$16.19
Nomad Century: How Climate Migration Will Reshape Our World,Gaia Vince,4.2,Hardcover,$18.99
"The Time Management Solution: 21 Proven Tactics To Increase Your Productivity, Reduce Your Stress, And Improve Your Work-Life Balance!",Damon Zahariades,4.7,Paperback,$10.67
The Mysteries of the Universe: Discover the best-kept secrets of space,Part of: DK Children's Anthologies (5 books) ,4.9,Hardcover,$28.35
Double Cross: The True Story of the D-Day Spies,Ben Macintyre,4.5,Paperback,$12.99
Riding with Evil: Taking Down the Notorious Pagan Motorcycle Gang,Audible Audiobook,$0.00
Dog Training Bible: Everything You Need to Know to Raise the Best Dog Ever from Puppy to Adult Using the Power of Positive Reinforcement,Sarah Richey,4.9,Paperback,$18.48
the river: a memoir,Kevin Weadock,4.4,Kindle,$0.00
"Weird But True World 2023: Incredible facts, awesome photos, and weird wonders―for THIS YEAR and beyond!",Part of: Weird But True (27 books) ,4.8,Hardcover,$15.29
"Trust the Grind: How World-Class Athletes Got To The Top (Motivational Book for Teens, Gift for Teen Boys, Teen and Young Adult Football, Fitness and Exercise)",Jeremy Bhandari,4.7,Paperback,$12.79
A Short History of Nearly Everything,Audible Audiobook,$0.00
The Greatness Mindset: Unlock the Power of Your Mind and Live Your Best Life Today,Lewis Howes,5.0,Hardcover,$16.81
The Billion Dollar Spy: A True Story of Cold War Espionage and Betrayal,Audible Audiobook,$0.00
Breaking History: A White House Memoir,Jared Kushner,4.7,Hardcover,$10.50
The Pennsylvania Turnpike Phantom Killer: John Wesley Wable (True Crime),Richard Gazarik,4.5,Paperback,$22.42
MY MAGICAL FEELINGS,Book 6 of 7: The Magic of Me Series ,4.8,Hardcover,$11.77
Breaking History: A White House Memoir,Jared Kushner,4.7,Hardcover,$10.50
The Billion Dollar Spy: A True Story of Cold War Espionage and Betrayal,Audible Audiobook,$0.00
Troublemaker: Surviving Hollywood and Scientology,Audible Audiobook,$0.00
A Short History of Nearly Everything,Audible Audiobook,$0.00
No Ordinary Dog: My Partner from the SEAL Teams to the Bin Laden Raid,Will Chesney,4.9,Hardcover,$18.49
The Personal Librarian,Marie Benedict,4.5,Kindle,$12.99
Unbroken (The Young Adult Adaptation): An Olympian's Journey from Airman to Castaway to Captive,Laura Hillenbrand,4.7,Paperback,$7.59
Chicken Soup for the Soul: Laughter Is the Best Medicine: 101 Feel Good Stories,Part of: Chicken Soup for the Soul (232 books) ,4.7,Paperback
The Hardest Hidden Pictures Book Ever (Highlights Hidden Pictures),Part of: Highlights Hidden Pictures (17 books) ,4.7,Paperback,$6.27
Robin,Audible Audiobook,$0.00
"Weird True Stories That Sound Made Up: A Collection of Insane-But-True Stories About Pop Culture, Science, History, And More To Satisfy Your Curious Brain",Book 1 of 1: Weird True Stories That Sound Made Up ,3.9,Paperback,$14.99
Monkeys on the Road: One family's vanlife adventure from the USA to South America in search of a simpler life,Mary Hollendoner,4.7,Kindle,$0.00
Ferry Pilot: Nine Lives Over the North Atlantic,Kerry McCauley,4.7,Paperback,$14.91
"The Sleepover: The BRAND NEW unputdownable, page-turning psychological thriller from bestseller Keri Beevis",Keri Beevis,4.3,Kindle,$0.00
"The President and the Freedom Fighter: Abraham Lincoln, Frederick Douglass, and Their Battle to Save America's Soul",Brian Kilmeade,4.8,Hardcover,$14.63
"When AI Rules the World: China, the U.S., and the Race to Control a Smart Planet",Hardcover,$24.22
Start with Why: How Great Leaders Inspire Everyone to Take Action,Part of: Start with Why Series (3 books) ,4.6,Audible Audiobook,$0.00
Glorious Revolution: A History from Beginning to End,Hourly History,4.3,Kindle,$0.00
